High0,Close0,Open0,Low0,Volume0,QuoteAssetVolume0,TakerBuyBaseAssetVolume0,TakerBuyQuoteAssetVolume0,TradeNum0,OpenTime0,CloseTime0,prof0,sym0,High1,Close1,Open1,Low1,Volume1,QuoteAssetVolume1,TakerBuyBaseAssetVolume1,TakerBuyQuoteAssetVolume1,TradeNum1,OpenTime1,CloseTime1,prof1,sym1,High2,Close2,Open2,Low2,Volume2,QuoteAssetVolume2,TakerBuyBaseAssetVolume2,TakerBuyQuoteAssetVolume2,TradeNum2,OpenTime2,CloseTime2,prof2,sym2,High3,Close3,Open3,Low3,Volume3,QuoteAssetVolume3,TakerBuyBaseAssetVolume3,TakerBuyQuoteAssetVolume3,TradeNum3,OpenTime3,CloseTime3,prof3,sym3,High4,Close4,Open4,Low4,Volume4,QuoteAssetVolume4,TakerBuyBaseAssetVolume4,TakerBuyQuoteAssetVolume4,TradeNum4,OpenTime4,CloseTime4,prof4,sym4
16951.13000000,16947.22000000,16946.60000000,16944.00000000,470.15949000,7967667.56976590,222.37116000,3768642.30438060,9997,1670116200000,1670116499999,0,BTCUSDT,16964.48000000,16960.52000000,16947.22000000,16935.00000000,1050.59514000,17809371.27467460,572.87811000,9711999.03168240,16353,1670116500000,1670116799999,0,BTCUSDT,17005.54000000,17001.84000000,16960.52000000,16949.82000000,1812.67695000,30777556.19299540,1033.71489000,17552121.87799270,32846,1670116800000,1670117099999,0,BTCUSDT,17049.45000000,17005.81000000,17002.51000000,17000.00000000,1431.72399000,24371355.68682540,735.85682000,12526332.17709300,33409,1670117100000,1670117399999,0,BTCUSDT,17018.40000000,17009.94000000,17006.18000000,17000.87000000,892.67064000,15184887.09183620,385.68778000,6560751.79541460,22395,1670117400000,1670117699999,0,BTCUSDT
16964.48000000,16960.52000000,16947.22000000,16935.00000000,1050.59514000,17809371.27467460,572.87811000,9711999.03168240,16353,1670116500000,1670116799999,0,BTCUSDT,17005.54000000,17001.84000000,16960.52000000,16949.82000000,1812.67695000,30777556.19299540,1033.71489000,17552121.87799270,32846,1670116800000,1670117099999,0,BTCUSDT,17049.45000000,17005.81000000,17002.51000000,17000.00000000,1431.72399000,24371355.68682540,735.85682000,12526332.17709300,33409,1670117100000,1670117399999,0,BTCUSDT,17018.40000000,17009.94000000,17006.18000000,17000.87000000,892.67064000,15184887.09183620,385.68778000,6560751.79541460,22395,1670117400000,1670117699999,0,BTCUSDT,17011.71000000,16978.82000000,17009.21000000,16977.10000000,625.99715000,10636783.40683910,270.65946000,4599132.94565650,18408,1670117700000,1670117999999,0,BTCUSDT
17005.54000000,17001.84000000,16960.52000000,16949.82000000,1812.67695000,30777556.19299540,1033.71489000,17552121.87799270,32846,1670116800000,1670117099999,0,BTCUSDT,17049.45000000,17005.81000000,17002.51000000,17000.00000000,1431.72399000,24371355.68682540,735.85682000,12526332.17709300,33409,1670117100000,1670117399999,0,BTCUSDT,17018.40000000,17009.94000000,17006.18000000,17000.87000000,892.67064000,15184887.09183620,385.68778000,6560751.79541460,22395,1670117400000,1670117699999,0,BTCUSDT,17011.71000000,16978.82000000,17009.21000000,16977.10000000,625.99715000,10636783.40683910,270.65946000,4599132.94565650,18408,1670117700000,1670117999999,0,BTCUSDT,16986.52000000,16973.72000000,16979.54000000,16966.66000000,544.12004000,9236982.67847830,262.33321000,4453475.24719080,16815,1670118000000,1670118299999,0,BTCUSDT
17049.45000000,17005.81000000,17002.51000000,17000.00000000,1431.72399000,24371355.68682540,735.85682000,12526332.17709300,33409,1670117100000,1670117399999,0,BTCUSDT,17018.40000000,17009.94000000,17006.18000000,17000.87000000,892.67064000,15184887.09183620,385.68778000,6560751.79541460,22395,1670117400000,1670117699999,0,BTCUSDT,17011.71000000,16978.82000000,17009.21000000,16977.10000000,625.99715000,10636783.40683910,270.65946000,4599132.94565650,18408,1670117700000,1670117999999,0,BTCUSDT,16986.52000000,16973.72000000,16979.54000000,16966.66000000,544.12004000,9236982.67847830,262.33321000,4453475.24719080,16815,1670118000000,1670118299999,0,BTCUSDT,16978.10000000,16975.05000000,16973.72000000,16965.75000000,412.79618000,7006267.63559640,202.54043000,3437727.42547940,13338,1670118300000,1670118599999,0,BTCUSDT
17018.40000000,17009.94000000,17006.18000000,17000.87000000,892.67064000,15184887.09183620,385.68778000,6560751.79541460,22395,1670117400000,1670117699999,0,BTCUSDT,17011.71000000,16978.82000000,17009.21000000,16977.10000000,625.99715000,10636783.40683910,270.65946000,4599132.94565650,18408,1670117700000,1670117999999,0,BTCUSDT,16986.52000000,16973.72000000,16979.54000000,16966.66000000,544.12004000,9236982.67847830,262.33321000,4453475.24719080,16815,1670118000000,1670118299999,0,BTCUSDT,16978.10000000,16975.05000000,16973.72000000,16965.75000000,412.79618000,7006267.63559640,202.54043000,3437727.42547940,13338,1670118300000,1670118599999,0,BTCUSDT,16980.30000000,16964.57000000,16975.05000000,16957.34000000,906.97076000,15388529.89059050,461.73259000,7834430.63406120,17616,1670118600000,1670118899999,0,BTCUSDT
17011.71000000,16978.82000000,17009.21000000,16977.10000000,625.99715000,10636783.40683910,270.65946000,4599132.94565650,18408,1670117700000,1670117999999,0,BTCUSDT,16986.52000000,16973.72000000,16979.54000000,16966.66000000,544.12004000,9236982.67847830,262.33321000,4453475.24719080,16815,1670118000000,1670118299999,0,BTCUSDT,16978.10000000,16975.05000000,16973.72000000,16965.75000000,412.79618000,7006267.63559640,202.54043000,3437727.42547940,13338,1670118300000,1670118599999,0,BTCUSDT,16980.30000000,16964.57000000,16975.05000000,16957.34000000,906.97076000,15388529.89059050,461.73259000,7834430.63406120,17616,1670118600000,1670118899999,0,BTCUSDT,16969.00000000,16967.26000000,16964.57000000,16959.30000000,291.31353000,4942132.17344100,158.15780000,2683226.16837430,9926,1670118900000,1670119199999,0,BTCUSDT
16986.52000000,16973.72000000,16979.54000000,16966.66000000,544.12004000,9236982.67847830,262.33321000,4453475.24719080,16815,1670118000000,1670118299999,0,BTCUSDT,16978.10000000,16975.05000000,16973.72000000,16965.75000000,412.79618000,7006267.63559640,202.54043000,3437727.42547940,13338,1670118300000,1670118599999,0,BTCUSDT,16980.30000000,16964.57000000,16975.05000000,16957.34000000,906.97076000,15388529.89059050,461.73259000,7834430.63406120,17616,1670118600000,1670118899999,0,BTCUSDT,16969.00000000,16967.26000000,16964.57000000,16959.30000000,291.31353000,4942132.17344100,158.15780000,2683226.16837430,9926,1670118900000,1670119199999,0,BTCUSDT,16968.51000000,16953.54000000,16967.26000000,16945.75000000,651.72589000,11051213.52463480,256.63140000,4351814.55741780,14249,1670119200000,1670119499999,0,BTCUSDT
16978.10000000,16975.05000000,16973.72000000,16965.75000000,412.79618000,7006267.63559640,202.54043000,3437727.42547940,13338,1670118300000,1670118599999,0,BTCUSDT,16980.30000000,16964.57000000,16975.05000000,16957.34000000,906.97076000,15388529.89059050,461.73259000,7834430.63406120,17616,1670118600000,1670118899999,0,BTCUSDT,16969.00000000,16967.26000000,16964.57000000,16959.30000000,291.31353000,4942132.17344100,158.15780000,2683226.16837430,9926,1670118900000,1670119199999,0,BTCUSDT,16968.51000000,16953.54000000,16967.26000000,16945.75000000,651.72589000,11051213.52463480,256.63140000,4351814.55741780,14249,1670119200000,1670119499999,0,BTCUSDT,16958.20000000,16955.70000000,16954.05000000,16945.61000000,383.33130000,6498102.69494910,184.30043000,3124222.34083740,10956,1670119500000,1670119799999,0,BTCUSDT
16980.30000000,16964.57000000,16975.05000000,16957.34000000,906.97076000,15388529.89059050,461.73259000,7834430.63406120,17616,1670118600000,1670118899999,0,BTCUSDT,16969.00000000,16967.26000000,16964.57000000,16959.30000000,291.31353000,4942132.17344100,158.15780000,2683226.16837430,9926,1670118900000,1670119199999,0,BTCUSDT,16968.51000000,16953.54000000,16967.26000000,16945.75000000,651.72589000,11051213.52463480,256.63140000,4351814.55741780,14249,1670119200000,1670119499999,0,BTCUSDT,16958.20000000,16955.70000000,16954.05000000,16945.61000000,383.33130000,6498102.69494910,184.30043000,3124222.34083740,10956,1670119500000,1670119799999,0,BTCUSDT,16961.36000000,16957.65000000,16956.30000000,16953.25000000,278.44914000,4721708.22977660,144.99675000,2458789.57078880,8366,1670119800000,1670120099999,0,BTCUSDT
16969.00000000,16967.26000000,16964.57000000,16959.30000000,291.31353000,4942132.17344100,158.15780000,2683226.16837430,9926,1670118900000,1670119199999,0,BTCUSDT,16968.51000000,16953.54000000,16967.26000000,16945.75000000,651.72589000,11051213.52463480,256.63140000,4351814.55741780,14249,1670119200000,1670119499999,0,BTCUSDT,16958.20000000,16955.70000000,16954.05000000,16945.61000000,383.33130000,6498102.69494910,184.30043000,3124222.34083740,10956,1670119500000,1670119799999,0,BTCUSDT,16961.36000000,16957.65000000,16956.30000000,16953.25000000,278.44914000,4721708.22977660,144.99675000,2458789.57078880,8366,1670119800000,1670120099999,0,BTCUSDT,16966.50000000,16963.07000000,16958.09000000,16955.86000000,361.80584000,6136551.70257960,200.87094000,3406964.80125140,9845,1670120100000,1670120399999,0,BTCUSDT
